covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
GENE291,-0.837769164817689,0.43267467348339916,0.24638526259281895,-1.3206754058210581,-0.35486292381432005,0.26695493814413657,0.7012695639774512,0.0,-3.4002405663450843,0.0006732659128280372,10.536535955918987
GENE406,-0.31422630898014753,0.7303537238488143,0.30722481116639133,-0.9163758740233936,0.2879232560630985,0.3999659445901006,1.3336549502645643,0.0,-1.0227894934239676,0.30640738672458134,1.7064770173945105
GENE95,0.23383374170922114,1.2634344182980997,0.24342612036288128,-0.24327268709833846,0.7109401705167807,0.7840576822040365,2.035904456484694,0.0,0.9605942918559416,0.3367561998914286,1.5702235880408228
GENE437,0.4631506792372693,1.5890727646497902,0.21918248219687356,0.03356090808930556,0.8927404503852331,1.0341304287166173,2.4418121556344756,0.0,2.1130825538386744,0.034593702636740144,4.8533467531155665
GENE38,-0.6058099649896033,0.5456323045482921,0.3391618212558646,-1.2705549195821093,0.058934989602902665,0.28067582604322955,1.0607062815620836,0.0,-1.7861974049625668,0.07406730112421832,3.75501942076032
GENE54,0.23042200075754,1.2591312521715383,0.19146508167315843,-0.1448426636188705,0.6056866651339505,0.8651584032951968,1.8325100977538733,0.0,1.2034674873556486,0.2287954656189651,2.127869634527422
GENE362,0.5325833663435746,1.7033269472012795,0.28269351893904343,-0.02148574943984216,1.0866524821269914,0.9787434250118245,2.9643342830394785,0.0,1.8839602985677728,0.05957034588485362,4.069261853911067
GENE196,0.5402385638852581,1.7164162882842295,0.2376602079220018,0.0744331157998338,1.0060440119706824,1.077273288550347,2.7347609060759925,0.0,2.2731553111430425,0.023016822252885268,5.441167523831207
GENE363,0.4553838185490399,1.5767784637280715,0.23533301486808306,-0.005860414965631944,0.9166280520637118,0.9941567237697747,2.5008434427210235,0.0,1.9350613376720953,0.05298276917627285,4.238332940773271
GENE173,0.18651883265399605,1.2050473161111546,0.2732801947593096,-0.3491005067623424,0.7221381720703345,0.705322237052936,2.0588306419122735,0.0,0.6825186611794966,0.49491104696107546,1.0147588497766291
