model,c_index,boot_mean,ci_low,ci_high
RandomSurvivalForest,0.6,0.5947491386247784,0.3619897959183674,0.8064268479929808
CoxPH(top10),0.638095238095238,0.6282009366190082,0.3896539027982327,0.8527214277796251
